psmiles,value
*CC(*)C,2.61
*CC(*)F,3.36
*CC(*)(F)F,3.37
*C(F)C(*)(F)F,3.06
*CCC(F)(F)C(*)(F)F,3.08
*CO*,3.72
*CCO*,3.15
*CC(O*)C(F)(F)F,2.7
*CCCO*,3.03
*Oc1ccc(Cc2ccc(*)cc2)cc1,3.5
*CCCCCOCO*,3.06
*CCOC(=O)NCCOCCOCCNC(=O)O*,3.53
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,5.68
*Sc1ccc(*)cc1,4.15
*CCOC(=O)CCCCC(=O)O*,3.25
*CCOC(=O)CCCCCCC(=O)O*,3.16
*CCOC(=O)c1ccc(C(=O)O*)cc1,3.82
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,3.59
*CC(=O)O*,3.99
*CCCCCC(=O)O*,3.12
*CCC(=O)O*,3.39
*Oc1ccc(CC(*)=O)cc1,3.52
*Cc1ccc(C(=O)O*)cc1,4.03
*CCC(=O)N*,3.61
*CCCCCCC(=O)N*,3.34
*CC(=O)N*,4.01
*Nc1cccc(C(*)=O)c1,4.43
*Cc1ccc(C(=O)N*)cc1,3.96
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,3.72
*CCCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,3.79
*OC(=O)c1ccc(C(*)=O)cc1,5.0
*CCCCCOC(=O)O*,3.09
*Oc1ccc(OC(*)=O)cc1,3.95
*CCCN*,3.03
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,4.32
*c1ccc(*)cc1,4.48
*CCc1ccc(-c2ccc(*)cc2)cc1,3.58
*OC1C(CO)OC(*)C(O)C1O,3.78
*Cc1ccc(CO*)cc1,3.47
*CCOCCOC(=O)O*,3.32
*CCC(O*)(C(F)(F)F)C(F)(F)F,3.05
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,4.1
*Nc1ccc(*)cc1,5.52
*c1cccc(*)n1,4.35
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,2.71
*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,4.77
*Cc1ccc(C*)cc1,3.97
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,3.05
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,3.19
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,5.59
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,5.88
*Oc1ccc(C(=S)c2ccc(*)s2)s1,4.89
*C(=S)OC(=S)c1ccc(*)s1,6.22
*Oc1ccc(Oc2ccc(*)s2)s1,3.9
*OC(=S)Oc1ccc(*)s1,4.48
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)s2)cc1,8.85
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,5.17
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)s2)cc1,4.25
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.87
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,4.91
*c1ccc(-c2ccc(C(=S)c3ccc(*)s3)s2)cc1,9.09
*c1ccc(-c2ccc(Oc3ccc(*)s3)s2)cc1,5.22
*C(=S)Oc1ccc(-c2ccc(*)cc2)s1,5.67
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,5.01
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,5.39
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.57
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,3.87
*OC(=S)c1ccc(-c2ccc(*)cc2)cc1,4.56
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,6.78
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,4.54
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,3.8
*Oc1ccc(C(=S)c2ccc(*)cc2)cc1,4.95
*C(=S)OC(=S)c1ccc(*)cc1,5.52
*Oc1ccc(Oc2ccc(*)cc2)s1,3.82
*c1ccc(OC(=S)c2ccc(*)s2)cc1,5.49
*OC(=S)Oc1ccc(*)cc1,4.1
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,4.39
*Cc1ccc(-c2ccc(C(*)=S)s2)s1,5.34
*Cc1ccc(-c2ccc(O*)s2)s1,4.19
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,3.91
*Cc1ccc(-c2ccc(C(*)=S)cc2)s1,4.8
*Cc1ccc(-c2ccc(O*)cc2)s1,4.05
*Cc1ccc(Cc2ccc(*)s2)s1,3.65
*Cc1ccc(CC(*)=S)s1,3.57
*Cc1ccc(C(=O)c2ccc(*)s2)s1,4.69
*Cc1ccc(C(=O)C(*)=S)s1,4.34
*Cc1ccc(C(=O)O*)s1,4.17
*Cc1ccc(C(=S)c2ccc(*)s2)s1,4.36
*Cc1ccc(C(=S)O*)s1,4.71
*Cc1ccc(Nc2ccc(*)s2)s1,3.83
*Cc1ccc(NC(*)=S)s1,4.42
*Cc1ccc(NO*)s1,4.04
*Cc1ccc(Oc2ccc(*)s2)s1,3.63
*Cc1ccc(OC(*)=S)s1,4.25
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,4.02
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,3.99
*Cc1ccc(-c2ccc(C(*)=S)s2)cc1,4.61
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,4.21
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,3.67
*Cc1ccc(-c2ccc(C(*)=S)cc2)cc1,4.45
*Cc1ccc(-c2ccc(O*)cc2)cc1,3.79
*Cc1ccc(Cc2ccc(*)s2)cc1,3.4
*Cc1ccc(Cc2ccc(*)cc2)cc1,3.41
*Cc1ccc(CC(*)=S)cc1,3.68
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,4.07
*Cc1ccc(C(=O)c2ccc(*)cc2)cc1,3.96
*Cc1ccc(C(=O)C(*)=S)cc1,4.22
*Cc1ccc(C(=S)c2ccc(*)s2)cc1,4.17
*Cc1ccc(C(=S)c2ccc(*)cc2)cc1,4.09
*Cc1ccc(C(=S)O*)cc1,3.95
*Cc1ccc(Nc2ccc(*)s2)cc1,4.02
*Cc1ccc(Nc2ccc(*)cc2)cc1,3.94
*Cc1ccc(NC(*)=S)cc1,4.11
*Cc1ccc(Oc2ccc(*)s2)cc1,3.59
*Cc1ccc(OC(*)=S)cc1,3.66
*CCc1ccc(-c2ccc(*)s2)s1,3.82
*CCc1ccc(C(*)=S)s1,4.38
*CCc1ccc(O*)s1,3.63
*CCc1ccc(-c2ccc(*)s2)cc1,3.75
*CCc1ccc(C(*)=S)cc1,3.9
*CCc1ccc(O*)cc1,3.46
*CCCc1ccc(*)s1,3.2
*CCCc1ccc(*)cc1,3.14
*CCCC(*)=O,3.27
*CCCC(*)=S,3.29
*CCC(=O)c1ccc(*)s1,4.12
*CCC(=O)c1ccc(*)cc1,3.81
*CCC(=O)C(*)=S,4.76
*CCC(=S)O*,3.71
*CCNc1ccc(*)s1,3.76
*CCNc1ccc(*)cc1,3.54
*CCNC(*)=S,4.24
*CCON*,3.46
*CC(=O)c1ccc(-c2ccc(*)s2)s1,4.89
*CC(=O)c1ccc(-c2ccc(*)cc2)s1,4.58
*CC(=O)c1ccc(C(*)=O)s1,4.49
*CC(=O)c1ccc(C(*)=S)s1,4.78
*CC(=O)c1ccc(O*)s1,4.43
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,4.71
*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,3.96
*CC(=O)c1ccc(C(*)=O)cc1,4.2
*CC(=O)c1ccc(C(*)=S)cc1,4.71
*CC(=O)c1ccc(O*)cc1,3.8
*CC(=O)Cc1ccc(*)s1,3.59
*CC(=O)Cc1ccc(*)cc1,3.64
*CC(=O)CC(*)=O,3.79
*CC(=O)CC(*)=S,3.82
*CC(=O)CO*,3.7
*CC(=O)C(=S)c1ccc(*)s1,4.85
*CC(=O)C(=S)c1ccc(*)cc1,4.62
*CC(=O)C(=S)C(*)=O,6.33
*CC(=O)C(=S)O*,4.8
*CC(=O)Nc1ccc(*)s1,4.12
*CC(=O)Nc1ccc(*)cc1,4.03
*CC(=O)NC(*)=O,4.4
*CC(=O)NC(*)=S,4.69
*CC(=O)Oc1ccc(*)s1,3.92
*CC(=O)OC(*)=O,3.95
*CC(=O)OC(*)=S,3.78
*CC(=S)c1ccc(C(*)=S)s1,6.4
*CC(=S)c1ccc(O*)s1,5.64
*CC(=S)c1ccc(N*)cc1,5.48
*CC(=S)c1ccc(O*)cc1,4.45
*CC(=S)CC(*)=S,3.96
*CC(=S)CO*,4.16
*CC(=S)C(=O)C(*)=S,5.61
*CC(=S)C(=O)O*,4.54
*CC(=S)NC(*)=S,5.73
*CC(=S)NO*,5.15
*CC(=S)OC(*)=S,4.36
*CNc1ccc(-c2ccc(*)cc2)s1,4.18
*CNc1ccc(C(*)=O)s1,5.29
*CNc1ccc(C(*)=S)s1,6.19
*CNc1ccc(N*)s1,4.18
*CNc1ccc(O*)s1,4.2
*CNc1ccc(-c2ccc(*)s2)cc1,4.42
*CNc1ccc(C(*)=O)cc1,4.8
*CNc1ccc(N*)cc1,4.2
*CNc1ccc(O*)cc1,4.14
*CNCc1ccc(*)s1,3.53
*CNCc1ccc(*)cc1,3.37
*CNCC(*)=O,3.5
*CNCC(*)=S,3.85
*CNCN*,3.29
*CNCO*,3.53
*CNC(=O)c1ccc(*)s1,4.11
*CNC(=O)C(*)=S,5.23
*CNC(=S)c1ccc(*)s1,4.55
*CNC(=S)c1ccc(*)cc1,3.99
*CNC(=S)C(*)=O,5.35
*CNC(=S)N*,5.58
*CNC(=S)O*,4.57
*CNOc1ccc(*)s1,3.82
*CNOc1ccc(*)cc1,3.65
*CNOC(*)=S,3.89
*CNON*,3.62
*COc1ccc(-c2ccc(*)cc2)s1,4.15
*COc1ccc(O*)s1,3.85
*COc1ccc(O*)cc1,3.8
*COC(=O)O*,3.73
*COC(=S)O*,4.34
*CONC(*)=O,4.13
*CONO*,4.25
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,8.28
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,6.5
*Oc1ccc(-c2ccc(C(*)=O)s2)s1,5.23
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,7.44
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)s1,5.9
*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,5.45
*C(=O)c1ccc(C(=O)c2ccc(*)s2)s1,7.04
*C(=O)c1ccc(C(=O)C(*)=S)s1,6.61
*OC(=O)c1ccc(C(*)=O)s1,4.57
*OC(=S)c1ccc(C(*)=O)s1,5.45
*C(=O)c1ccc(Oc2ccc(*)s2)s1,5.0
*C(=O)c1ccc(OC(*)=S)s1,6.41
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.86
*Oc1ccc(-c2ccc(C(*)=O)cc2)s1,4.73
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.43
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,5.49
