psmiles,value
*CC(*)C,0.4343
*CC(*)F,0.874
*CC(*)(F)F,1.1415
*C(F)C(*)(F)F,1.524
*CCC(F)(F)C(*)(F)F,0.4489
*CO*,0.9897
*CCO*,0.3936
*CC(O*)C(F)(F)F,0.7546
*CCCO*,0.5672
*Oc1ccc(Cc2ccc(*)cc2)cc1,1.1795
*CCCCCOCO*,0.5413
*CCOC(=O)NCCOCCOCCNC(=O)O*,0.573
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,3.0398
*CCCCCS*,0.5118
*Sc1ccc(*)cc1,2.0372
*CCOC(=O)CCCCC(=O)O*,1.0754
*CCOC(=O)CCCCCCC(=O)O*,0.8924
*CCOC(=O)c1ccc(C(=O)O*)cc1,2.2723
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,2.4936
*CC(=O)O*,1.2063
*CCCCCC(=O)O*,0.5062
*CCC(=O)O*,0.7562
*Oc1ccc(CC(*)=O)cc1,1.5033
*Cc1ccc(C(=O)O*)cc1,2.2574
*CCC(=O)N*,1.1904
*CCCCCCC(=O)N*,0.6934
*CC(=O)N*,0.7672
*Nc1cccc(C(*)=O)c1,2.356
*Cc1ccc(C(=O)N*)cc1,1.8315
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,0.9199
*OC(=O)c1ccc(C(*)=O)cc1,3.2451
*Oc1ccc(OC(*)=O)cc1,1.4499
*CCCN*,0.5296
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,2.4594
*c1ccc(*)cc1,2.6013
*CCc1ccc(-c2ccc(*)cc2)cc1,1.482
*OC1C(CO)OC(*)C(O)C1O,0.8344
*Cc1ccc(CO*)cc1,1.6106
*CCOCCOC(=O)O*,0.4954
*CCC(O*)(C(F)(F)F)C(F)(F)F,0.4911
*c1ccc(*)s1,2.9681
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,2.4015
*Nc1ccc(*)cc1,0.9827
*c1cccc(*)n1,2.2143
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,1.5606
*c1ccc(-c2ccc(*)s2)s1,2.9681
*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,3.155
*Cc1ccc(C*)cc1,0.8499
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,0.7602
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,1.1922
