psmiles,value
*CC(*)C,7.6997
*CC(*)CC,7.9012
*CC(*)CCC,7.2705
*CC1CCC(*)C1,7.9703
*CC(*)CCCC1CCCCC1,7.5725
*C(*)C,7.4047
*C=C*,0.9567
*C=CCCCC*,5.7962
*C1CCC1*,6.5419
*CC1(*)CCCCC1,7.3387
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,4.8032
*CC(*)O,7.5488
*CC(*)C#N,7.4435
*CC(*)(C)C#N,7.1863
*CC(*)OC(C)=O,5.9373
*CC(*)CCc1ccc(C)cc1,4.5772
*C(C)C(*)O,7.9156
*C(F)C(*)(F)OC(F)(F)F,7.802
*CC(*)C(=O)c1ccc(CC)cc1,3.9853
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,6.0228
*CC(*)OC(=O)CC1CCCC1,6.4741
*CC(*)N1CCCC1=O,5.5902
*CC(*)C(=O)O,6.1071
*CC(*)C(=O)OC(C)C,6.455
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.4578
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.7185
*CC(*)(C)C(=O)OCC,6.2424
*CC(*)(C)C(=O)Oc1ccccc1,4.8118
*CC(*)(C)C(=O)OCCc1ccccc1,4.9946
*CC(*)(C)C(=O)OCC(F)(F)C(F)F,5.3983
*CC(*)(C)C(=O)OC(C(F)(F)F)C(F)(F)F,5.3218
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,6.1125
*CC(*)(C)C(=O)OCCOCC,5.9514
*CC(*)C(N)=O,6.3764
*CC(*)C(=O)OC(CC)CC,6.2722
*CC(*)C(=O)OCF,6.1736
*CC(*)C(=O)OCCCCSC,5.1007
*CC(*)C(=O)OCCCSCC,5.1212
*CC(*)C(=O)OCCSCCCC#N,5.1226
*CC(*)(C)C(=O)OCCC#N,6.2508
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.0236
*CC(*)(C#N)C(=O)OCC,6.1989
*CCC(C(=O)OC)C(*)C(=O)OC,6.3252
*CC(*)(C#N)C(=O)OC(C)C,5.8301
*C1C(=O)OC(=O)C1*,6.0081
*CC(*)F,8.3099
*C(F)C(*)(F)F,6.8451
*CCC(F)(F)C(*)(F)Cl,7.4828
*CCC(F)(F)C(*)(F)F,9.1316
*C(F)(F)C1(F)C(F)(F)C(*)(F)C(F)(F)C1(F)F,6.9544
*CCC(Cl)C(*)Cl,6.4523
*C=CC(C*)(C(F)(F)F)C(F)(F)F,5.7329
*C=CC(C*)CCC,5.7469
*C1C=CC(*)CC1,5.4843
*C=CC(C)C(*)C(=O)OCCCC,5.4974
*CO*,8.7732
*OC(*)CCC#N,6.9611
*CCO*,6.2206
*CC(C)O*,6.9903
*CC(O*)C(F)(F)F,7.4158
*OC(F)(F)C(*)(F)F,10.1137
*CCCO*,7.4889
*Oc1ccc(Cc2ccc(*)cc2)cc1,4.3787
*CCCCCOCO*,6.8354
*Oc1ccc(SSCCCCCCCCCCSSc2ccc(*)cc2)cc1,4.2235
*OC(F)(F)C(F)(F)C(F)(F)C(*)(F)F,8.7307
*CC(C)CO*,7.3501
*CCOC(=O)NCCOCCOCCNC(=O)O*,6.4585
*CC1CC1CO*,6.9566
*CCOCCOCCOC(=O)CCCCCC(=O)O*,5.5157
*CCOCCOCCOC(=O)CCCCCCC(=O)O*,6.184
*CCOCCOC(=O)CCCCS(=O)(=O)CCCCC(=O)O*,5.7504
*ON(C(F)(F)F)C(F)(C(*)(F)F)C(F)(F)F,7.0955
*C1(F)OC(C(F)(F)F)(C(F)(F)Cl)OC1(*)F,7.8208
*C1OC(C(F)(F)F)(C(F)(F)F)OC1(*)F,8.0982
*CS*,4.8805
*CCCCCS*,4.989
*CCCCSCCS*,4.9438
*CCCCCCSCCS*,5.0604
*CCCCCCSSCCCCSS*,4.2836
*CCCCCCCCCCSCCCCCCS*,5.52
*CCOC(=O)NCCSCCCCSCCNC(=O)O*,5.1094
*CCCCCCOC(=O)NCCSCCSCCNC(=O)O*,4.7777
*CCCCCCOC(=O)NCCSCCCCCSCCNC(=O)O*,5.1327
*SC1CCCC(*)C1,5.2199
*CC1CCC(COC(=O)NCCSCCCSCCNC(=O)O*)CC1,5.0712
*CC1CCC(COC(=O)NCCSCCCCCSCCNC(=O)O*)CC1,5.4414
*Sc1ccc(*)cc1,3.1848
*CCc1ccc(Cc2ccc(CCS*)cc2)cc1,4.3552
*CCCC1CCN(C(=O)SSCCCCSSC(=O)N2CCC(*)CC2)CC1,4.297
*CCCCCCCCCCOC(=O)CCC(=O)O*,6.6201
*CCOC(=O)CCCCC(=O)O*,6.7769
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,6.718
*CCOC(=O)CCCCCCC(=O)O*,6.8383
*CCCOC(=O)CCCCCCC(=O)O*,6.4907
*CCOC(=O)c1ccc(C(=O)O*)cc1,3.8637
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,4.0149
*CCCCCC(=O)S*,5.0001
*CC(=O)O*,6.5712
*CCCCCC(=O)O*,7.0558
*CCCCCCCCCCCC(=O)O*,6.8377
*CCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC(=O)O*,6.0542
*CC(C)C(C)COC(=O)c1ccc(C(=O)O*)cc1,4.2335
*CC(CCC)C(CCC)COC(=O)c1ccc(C(=O)O*)cc1,4.4708
*CCC(=O)O*,6.684
*CC(C)C(=O)O*,6.5897
*CCCOC(=O)CCCCCCCCCCC(=O)O*,6.3683
*OC(c1ccc(OC)cc1)C(C)(C)C(*)=O,4.5832
*CC1CCC(COC(=O)C2CCC(C(=O)O*)CC2)CC1,6.4924
*CC1CC1COC(=O)c1cccc(C(=O)O*)c1,4.4908
*OC(C)COC(=O)CCCCC(*)=O,6.5974
*CCOC(=O)C1CCC(C(=O)O*)CC1,6.4481
*Oc1ccc(CC(*)=O)cc1,4.6878
*CC(CCl)(CCl)C(=O)O*,6.1969
*CC(F)(F)C(F)(F)C(F)(F)COC(=O)CCCCC(=O)O*,6.2672
*CC(C)(C)COC(=O)CCCCC(=O)O*,6.5878
*OC(C)CCOC(=O)CCCCS(=O)(=O)CCCCC(*)=O,6.2709
*CC(F)(F)C(F)(F)C(F)(F)COC(=O)CCCC(=O)O*,5.7563
*CCCCOC(=O)C1CCC(C(=O)O*)CC1,6.5835
*OC(C)COC(=O)CCCCS(=O)(=O)CCCCC(*)=O,6.4017
*Cc1ccc(C(=O)O*)cc1,3.7934
*CCC(=O)N*,6.2028
*CCCCCCNC(=O)CCCCCCCCCCC(=O)N*,6.3994
*CCCCCCC(=O)N*,5.9361
*CC1CCC(CNC(=O)c2cc(C(=O)N*)cc(C(C)(C)C)c2)CC1,5.1615
*CCC(C)C(C)CCNC(=O)c1cccc(C(=O)N*)c1,4.7199
*CC(=O)N*,5.7289
*Nc1cccc(C(*)=O)c1,3.2399
*Cc1ccc(C(=O)N*)cc1,4.2448
*CCCCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,4.214
*CC1CCC(CNC(=O)CCCCCC(=O)N*)CC1,5.2823
*CC1CC1CNC(=O)C1CC1C(=O)N*,5.6374
*NC(C)C(=O)NCC(=O)NCC(=O)NCC(*)=O,5.4756
*C(=O)c1ccc(C(=O)N2CCN(*)CC2)cc1,4.7036
*NC(C)C(=O)NC(C)C(=O)NC(C(=O)NC(C(*)=O)C(C)C)C(C)C,5.8867
*NC1CCCC1C(*)=O,6.4002
*NNC(=O)C(=O)NNC(=O)CCCCCCCC(*)=O,3.7266
*CCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,6.2733
*CCCNC(=O)CCCCCCCC(=O)NCCCNC(=O)C(=O)N*,4.6809
*Nc1ccc(-c2ccc(NC(=O)c3cc(C(*)=O)cc(S(=O)(=O)c4ccccc4)c3)cc2)cc1,2.4795
*CCOC(=O)NCCCCCCCCCCNC(=O)O*,6.6421
*CCCCCCOC(=O)NCCCNC(=O)O*,6.5954
*CC(F)(F)C(F)(F)C(F)(F)COC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,6.4326
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,4.5288
*CC1CC1COC(=O)Nc1ccc(C)c(NC(=O)O*)c1,4.7181
*C(=O)OCC(C)(C)COC(=O)N1CCN(*)CC1,6.4401
*CC(C)(C)COC(=O)Nc1ccc(NC(=O)O*)cc1,4.4894
*C(=O)OCCCCOC(=O)N1CCN(*)CC1,6.4265
*CCOC(=O)Nc1ccc(C(C)(C)c2ccc(NC(=O)O*)cc2)cc1,4.3346
*C(=O)OC1CCC(OC(=O)N2CCN(*)CC2)CC1,6.2573
*CCCCCOC(=O)NC(=O)C1CC1C(=O)NC(=O)O*,5.4301
*c1ccc(Sc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,2.3234
*OC(=O)c1ccc(C(*)=O)cc1,3.1295
*OC(=O)CCCCCCCCCCCCC(*)=O,5.2681
*OC1C(C)(C)C(OC(*)=O)C1(C)C,6.9495
*CCCCCOC(=O)O*,7.123
*Oc1ccc(OC(*)=O)cc1,4.3251
*c1cccc(-c2nc3cc4nc(*)c(-c5ccccc5)nc4cc3nc2-c2ccccc2)c1,1.9959
*CCCN*,6.381
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,3.1383
*CCc1ccc(-c2ccc(*)cc2)cc1,3.7492
*CCC1CC(*)C2CCCC12,7.4997
*C1C2CC(C)C(C2)C1*,6.7713
*CCC1CC(*)C2C3CC(CC)C(C3)C12,7.528
*CCC1CCC(*)C1,7.9915
*CC(*)OC(=O)OCC(F)(F)F,7.9003
*C=C(*)C#N,0.5068
*C=C(*)F,0.3906
*CCCC(*)C#N,7.4859
*CC(*)(Cl)C#N,5.8652
*C=CC(C)(C)CC(C#N)C*,5.2738
*CC(*)CO,7.4192
*C#CC(=C(*)c1cnc2ccccc2c1)c1cnc2ccccc2c1,0.5725
*C=CC1CC(*)C(C#N)(CC)C1,5.5315
*C=CC1CC(*)C(C#N)(CCC)C1,5.8705
*C=CC1CC(*)C(C(=O)OCCNC(C)(C)C)C1,4.7904
*CC(OCC)C(C#N)(C#N)C(*)(C#N)C(=O)OC,5.4071
*CC(*)C(=O)NCCO,5.7124
*CC(*)(C)C(=O)OC1(C)CCOC(=O)C1,5.9976
*CC(*)(C)C(=O)OCCC1CCCCC1,6.5993
*C1C2CC(C(=O)NCC(O)C(O)C(OC3OC(CO)C(O)C(O)C3O)C(O)CO)C(C2)C1*,5.6407
*CC(*)C(=O)Nc1ccccc1Cl,4.2427
*CC(*)(C)C(=O)OCC(=O)N1CCCC1,5.3385
*CCCCCCC(Cl)C(*)Cl,6.7965
*C(F)(F)C1(F)C(F)(F)C(*)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,7.543
*CCCCCCCCC(*)Cl,6.86
*C1C=C(C(*)(C)C)C2CC=CCC12,4.8262
*C=CC1CC(*)C2CC=CC12,5.6741
*c1ccc2c(c1)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(*)ccc1-2,2.85
*C=CC1CC(*)C2C3CCC(C3)C12,5.7656
*OC1C(CO)OC(*)C(O)C1O,7.4757
*ON(C(F)(F)F)C(F)(Cl)C(*)(F)F,6.6835
*OC(F)(F)C(F)(F)C(*)(F)F,9.1214
*Cc1ccc(CO*)cc1,4.8019
*CCOCCOC(=O)O*,6.6617
*OC(=O)OC1COC2C(*)COC12,6.6786
*CCC(O*)(C(F)(F)F)C(F)(F)F,8.3878
*OC(=O)OCCCCCCCCCCOC(=O)OC1COC2C(*)COC12,6.1689
*OC(=O)OCCOCCOC(=O)OC1COC2C(*)COC12,6.5378
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)n4CCCCCCCCCCCC)s3)s2)s1,2.1442
*c1cccc(-c2ccc(-c3ccc(*)s3)s2)n1,2.0464
*c1cc(C#N)c(*)s1,1.0894
*C=c1ccc(=c2ccc(=Cc3ccc(*)s3)s2)s1,1.224
*c1cc2c(s1)-c1sc(*)cc1C2CCCCCCN,1.3223
*c1cc(-c2sc(-c3cc(C)c(*)s3)cc2C)c2cccccc1-2,1.3327
*CCCCCOC(=O)CC(=O)O*,6.4679
*OC(CC(C)C)C(*)=O,5.8529
*Oc1ccc(C2(c3ccc(OC(=O)c4cccc(C(*)=O)c4)c(C)c3)c3ccccc3-c3ccccc32)cc1C,3.0176
*OC(CC(*)=O)C1CO1,6.1493
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,3.0847
*OC(CCCCCCC=C)CC(*)=O,5.5852
*CCC(C)CC(=O)O*,6.7489
*Oc1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1C1CCCCCCC1,3.1917
*CCOC(=O)C1C2C=CC(C2)C1C(=O)O*,5.3661
*Nc1ccc(Cc2ccc(NC(=O)c3cc(C(*)=O)cc(N4C(=O)C=CC4=O)c3)cc2)cc1,2.0738
*Nc1ccc(Br)cc1-c1ccc(NC(=O)c2ccc(C(*)=O)cc2)cc1,2.9894
*Nc1ccc(NC(=O)c2cc(NC(=O)c3ccncc3)cc(C(*)=O)c2)cc1,2.9949
*CCCCCNC(=S)N*,4.3365
*C=CC1CC(*)C2C(=O)N(CCCCCCCCC)C(=O)C12,5.104
*Oc1c(Cl)cc(C2(c3cc(Cl)c(OC(*)=O)c(Cl)c3)CC3CCC2C3)cc1Cl,4.6838
*OC1CCC(OC(=O)OCCCCCOC(*)=O)CC1,6.0614
*OC1CCC(OC(=O)OCCCCCCOC(*)=O)CC1,7.0127
*Oc1ccc(C(CC)c2ccc(OC(*)=O)cc2)cc1,4.7325
*Nc1ccc(*)cc1,2.3603
*c1cccc(*)n1,2.9424
*C=Cc1ccc(*)n1CCCCCC,1.3683
*c1ccc(*)n1CCC(=O)OC(C)C(=O)OCC,2.05
*C(C#N)=C(c1ccccc1)c1ccc(*)cc1,2.5883
*CC(*)(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.7714
*CC(*)(F)C#N,7.0615
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,6.2862
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,4.8255
*c1ccc(-c2ccc(*)s2)s1,0.9894
*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,2.5367
*Cc1ccc(C*)cc1,2.5648
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,6.5329
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,4.5101
*C(=S)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,0.75
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,1.8638
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,1.9834
*Oc1ccc(C(=S)c2ccc(*)s2)s1,2.3041
*C(=S)OC(=S)c1ccc(*)s1,1.7517
*Oc1ccc(Oc2ccc(*)s2)s1,4.047
*OC(=S)Oc1ccc(*)s1,3.0437
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)s2)cc1,1.1128
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,1.9403
