psmiles,value
*C*,6.8972
*CC(*)C,6.5196
*CC(*)CC,6.517
*CC(*)CCC,6.7336
*CC(*)CC(C)C,6.7394
*CC1CCC(*)C1,6.9613
*CC(*)CCCC1CCCCC1,6.3703
*C=CCCC*,4.6373
*C=CCC*,5.2133
*C=C*,1.3994
*CCC(C)C(*)C,6.6781
*C=CCCCCCCCC*,5.8277
*C=CCCCCCCCCCC*,5.8787
*C=CCCCCCC*,5.8437
*C=CCCCC*,5.7726
*C1CCC1*,6.0897
*C=CCCCCC*,5.8026
*C=CC1CCC(*)C1,5.4117
*C=CC(C*)C(C)CC,4.9643
*CC1(*)CCCCC1,6.3291
*CC(*)c1ccccc1C(=O)OC,5.0713
*CC(*)c1ccccc1Cl,2.4139
*CC(*)c1cccc(C)c1,5.185
*CC(*)c1ccc(CCCCCC)cc1,4.9872
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,5.0097
*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,3.8601
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,2.7084
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,4.9663
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,4.7078
*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,3.6382
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,3.5289
*CC(*)c1ccc(F)cc1,2.0489
*CC(*)c1ccc(C)cc1C,4.8585
*CC(*)c1cc(C)ccc1C,4.9137
*CC(*)c1cc(Cl)ccc1Cl,2.6378
*CC(*)c1cc(C)ccc1F,4.5949
*CC(*)c1cc(Br)ccc1OCCCC,4.5078
*CC(*)c1cc(Br)ccc1OCC,4.458
*CC(*)c1cc(Br)ccc1OC(C)C,4.6199
*CC(*)c1ccc(C)c(C)c1,4.4861
*CC(*)c1ccc(Cl)c(C)c1,4.762
*CC(*)c1ccc(Cl)c(Cl)c1,2.3069
*C(F)(F)C(*)(F)c1ccccc1,5.6014
*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1,3.2629
*CC(*)c1ccc2ccccc2c1,3.6351
*CC(*)c1ccncc1,2.5368
*CC(*)c1cccc(C)n1,5.0497
*CC(*)c1ccc(C)nc1,4.8601
*CC(*)n1cc2ccccc2n1,3.7572
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,5.5884
*CC(*)O,6.3648
*CC(*)C#N,7.7741
*CC(*)(C)C#N,7.6319
*CC(*)n1c2ccccc2c2ccccc21,4.0449
*CC(*)OC,5.5335
*CC(*)OCCCCC,5.9056
*CC(*)OC(C)=O,6.8523
*CC(*)OC(=O)CC,6.5454
*CC(*)OC=O,6.9603
*CC(*)OCc1ccccc1,5.0639
*CC(*)OC(=O)C(F)(F)F,6.7842
*C=CC(C*)OC,5.0501
*C=CCC(C)(CC*)C(=O)OC,5.4945
*CC(*)CCc1ccc(C)cc1,5.1686
*CC(*)OCCCCCCCCCCCC,5.4919
*C(C)C(*)OC,5.326
*C1CC(*)(C#N)C1,6.8104
*C(C)C(*)O,6.0639
*CC(*)C(=O)C(C)(C)C,5.3334
*CC(*)C(=O)c1ccccc1O,1.7298
*C(*)O,6.4482
*CC(*)SCC,4.9086
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,8.7447
*C(OC(F)(F)F)C(*)(F)F,8.5308
*C(F)C(*)(F)OC(F)(F)F,8.1265
*C(F)(F)C(*)(F)OC(F)(F)F,8.2947
*CC(*)SC,5.023
*CC(*)(F)C(C)=O,4.643
*CC(*)C(=O)c1ccc(Br)c(OC)c1,3.8338
*CC(*)C(=O)c1ccc(CC)cc1,4.27
*CC(*)OC(=O)c1ccc(OC(C)=O)cc1,4.6237
*CC(*)OC(=O)c1cccc(Br)c1,4.2289
*CC(*)OC(=O)c1cccc(Cl)c1,1.7974
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,6.4207
*CC(*)OC(=O)C(F)(F)C(F)(F)F,6.6309
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.4713
*CC(*)OC(=O)c1ccc(OC)cc1,4.435
*CC(*)OC(=O)c1cccnc1,4.7397
*CC(*)OC(=O)C(C)(C)C,6.1579
*C=C(*)c1ccccc1,0.1289
*CC(*)OC(=O)CCC,6.8545
