psmiles,value
*CC(*)C,6.185
*CC(*)F,7.6332
*CC(*)(F)F,8.1531
*C(F)C(*)(F)F,8.5986
*CCC(F)(F)C(*)(F)F,9.0178
*CO*,7.5826
*CCO*,7.0344
*CC(O*)C(F)(F)F,7.9431
*CCCO*,6.904
*Oc1ccc(Cc2ccc(*)cc2)cc1,6.1428
*CCCCCOCO*,6.9158
*CCOC(=O)NCCOCCOCCNC(=O)O*,7.1012
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,5.6689
*CCCCCS*,5.7733
*Sc1ccc(*)cc1,6.1739
*CCOC(=O)CCCCC(=O)O*,7.8277
*CCOC(=O)CCCCCCC(=O)O*,7.7636
*CCOC(=O)c1ccc(C(=O)O*)cc1,7.1539
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,7.6583
*CC(=O)O*,8.2018
*CCCCCC(=O)O*,7.458
*CCC(=O)O*,7.7853
*Oc1ccc(CC(*)=O)cc1,6.3961
*Cc1ccc(C(=O)O*)cc1,7.179
*CCC(=O)N*,6.8452
*CCCCCCC(=O)N*,6.5849
*CC(=O)N*,7.2525
*Nc1cccc(C(*)=O)c1,6.1179
*Cc1ccc(C(=O)N*)cc1,6.8713
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,5.1674
*OC(=O)c1ccc(C(*)=O)cc1,7.8184
*CCCCCOC(=O)O*,7.4318
*Oc1ccc(OC(*)=O)cc1,6.5915
*CCCN*,5.8246
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,6.383
*c1ccc(*)cc1,5.0935
*CCc1ccc(-c2ccc(*)cc2)cc1,5.6867
*OC1C(CO)OC(*)C(O)C1O,6.8689
*Cc1ccc(CO*)cc1,6.5689
*CCOCCOC(=O)O*,7.5966
*CCC(O*)(C(F)(F)F)C(F)(F)F,8.3643
*c1ccc(*)s1,4.5257
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,6.2671
*Nc1ccc(*)cc1,4.9916
*c1cccc(*)n1,6.0452
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,3.5577
*c1ccc(-c2ccc(*)s2)s1,4.5257
*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,5.6338
*Cc1ccc(C*)cc1,6.2134
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,7.4162
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,6.2005
*C(=S)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,5.4248
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,4.7769
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,5.7571
*Oc1ccc(C(=S)c2ccc(*)s2)s1,6.0778
*C(=S)OC(=S)c1ccc(*)s1,6.3892
*Oc1ccc(Oc2ccc(*)s2)s1,5.0541
*OC(=S)Oc1ccc(*)s1,6.1007
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)s2)cc1,4.7302
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,5.6406
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)s2)cc1,5.1637
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.6674
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.1678
*c1ccc(-c2ccc(C(=S)c3ccc(*)s3)s2)cc1,5.7103
*c1ccc(-c2ccc(Oc3ccc(*)s3)s2)cc1,4.9968
*C(=S)Oc1ccc(-c2ccc(*)cc2)s1,5.9399
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,5.1012
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,5.1853
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,5.6338
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,5.5837
*OC(=S)c1ccc(-c2ccc(*)cc2)cc1,5.9851
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,6.2119
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,5.8629
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,5.6051
*Oc1ccc(C(=S)c2ccc(*)cc2)cc1,5.7685
*C(=S)OC(=S)c1ccc(*)cc1,6.5598
*Oc1ccc(Oc2ccc(*)cc2)s1,5.9034
*c1ccc(OC(=S)c2ccc(*)s2)cc1,5.9615
*OC(=S)Oc1ccc(*)cc1,6.6287
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,5.1385
*Cc1ccc(-c2ccc(C(*)=S)s2)s1,5.7652
*Cc1ccc(-c2ccc(O*)s2)s1,5.2494
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,5.2326
*Cc1ccc(-c2ccc(C(*)=S)cc2)s1,5.6896
*Cc1ccc(-c2ccc(O*)cc2)s1,5.4992
*Cc1ccc(Cc2ccc(*)s2)s1,5.797
*Cc1ccc(CC(*)=S)s1,5.8858
*Cc1ccc(C(=O)c2ccc(*)s2)s1,6.3555
*Cc1ccc(C(=O)C(*)=S)s1,6.4325
*Cc1ccc(C(=O)O*)s1,6.8862
*Cc1ccc(C(=S)c2ccc(*)s2)s1,5.9541
*Cc1ccc(C(=S)O*)s1,6.4155
*Cc1ccc(Nc2ccc(*)s2)s1,5.2507
*Cc1ccc(NC(*)=S)s1,5.7769
*Cc1ccc(NO*)s1,5.1816
*Cc1ccc(Oc2ccc(*)s2)s1,5.8606
*Cc1ccc(OC(*)=S)s1,6.155
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,5.1679
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.3092
*Cc1ccc(-c2ccc(C(*)=S)s2)cc1,5.8475
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,5.3793
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,5.528
*Cc1ccc(-c2ccc(C(*)=S)cc2)cc1,5.6651
*Cc1ccc(Cc2ccc(*)s2)cc1,5.5737
*Cc1ccc(Cc2ccc(*)cc2)cc1,6.2368
*Cc1ccc(CC(*)=S)cc1,5.9697
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,6.578
*Cc1ccc(C(=O)c2ccc(*)cc2)cc1,6.6326
*Cc1ccc(C(=O)C(*)=S)cc1,6.2998
*Cc1ccc(C(=S)c2ccc(*)s2)cc1,5.8109
*Cc1ccc(C(=S)c2ccc(*)cc2)cc1,5.6687
*Cc1ccc(C(=S)O*)cc1,6.2737
*Cc1ccc(Nc2ccc(*)s2)cc1,5.4067
*Cc1ccc(Nc2ccc(*)cc2)cc1,5.3392
*Cc1ccc(NC(*)=S)cc1,5.8355
*Cc1ccc(NO*)cc1,5.6115
*Cc1ccc(Oc2ccc(*)s2)cc1,5.631
*Cc1ccc(OC(*)=S)cc1,6.2998
*CCc1ccc(-c2ccc(*)s2)s1,5.1709
*CCc1ccc(C(*)=S)s1,5.9475
*CCc1ccc(O*)s1,5.5608
*CCc1ccc(-c2ccc(*)s2)cc1,5.4079
*CCc1ccc(C(*)=S)cc1,5.8549
*CCc1ccc(O*)cc1,5.6727
*CCCc1ccc(*)s1,5.6976
*CCCc1ccc(*)cc1,5.9933
*CCCC(*)=O,6.6298
*CCCC(*)=S,5.7881
*CCC(=O)c1ccc(*)s1,6.6564
*CCC(=O)c1ccc(*)cc1,6.8635
*CCC(=O)C(*)=S,6.4199
*CCC(=S)O*,6.2041
*CCNc1ccc(*)s1,4.6632
*CCNc1ccc(*)cc1,4.8208
*CCNC(*)=S,5.3628
*CCON*,4.8207
*CC(=O)c1ccc(-c2ccc(*)s2)s1,5.6786
*CC(=O)c1ccc(-c2ccc(*)cc2)s1,6.0852
*CC(=O)c1ccc(C(*)=O)s1,7.202
*CC(=O)c1ccc(C(*)=S)s1,6.3101
*CC(=O)c1ccc(O*)s1,6.261
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,5.9294
*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,6.2808
*CC(=O)c1ccc(C(*)=O)cc1,7.293
*CC(=O)c1ccc(C(*)=S)cc1,6.4748
*CC(=O)c1ccc(O*)cc1,6.5457
*CC(=O)Cc1ccc(*)s1,6.0343
*CC(=O)Cc1ccc(*)cc1,6.2518
*CC(=O)CC(*)=O,5.6663
*CC(=O)CC(*)=S,5.8877
*CC(=O)CO*,6.97
*CC(=O)C(=S)c1ccc(*)s1,6.3305
*CC(=O)C(=S)c1ccc(*)cc1,6.263
*CC(=O)C(=S)C(*)=O,6.8667
*CC(=O)C(=S)O*,6.719
*CC(=O)Nc1ccc(*)s1,5.8021
*CC(=O)Nc1ccc(*)cc1,5.8783
*CC(=O)NC(*)=O,5.8547
*CC(=O)NC(*)=S,5.8386
*CC(=O)Oc1ccc(*)s1,6.077
*CC(=O)OC(*)=O,8.5901
