psmiles,value
*CC(*)C,1.6081
*CC(*)F,1.6305
*CC(*)(F)F,1.6122
*C(F)C(*)(F)F,1.5796
*CCC(F)(F)C(*)(F)F,1.5774
*CO*,1.6434
*CCO*,1.6377
*CC(O*)C(F)(F)F,1.4843
*CCCO*,1.6476
*Oc1ccc(Cc2ccc(*)cc2)cc1,1.8035
*CCCCCOCO*,1.6043
*CCOC(=O)NCCOCCOCCNC(=O)O*,1.6526
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,2.3284
*Sc1ccc(*)cc1,1.9808
*CCOC(=O)CCCCC(=O)O*,1.6581
*CCOC(=O)CCCCCCC(=O)O*,1.6577
*CCOC(=O)c1ccc(C(=O)O*)cc1,1.8075
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,1.7603
*CC(=O)O*,1.6701
*CCCCCC(=O)O*,1.6432
*CCC(=O)O*,1.6631
*Oc1ccc(CC(*)=O)cc1,1.7375
*Cc1ccc(C(=O)O*)cc1,1.8426
*CCC(=O)N*,1.7036
*CCCCCCC(=O)N*,1.6565
*CC(=O)N*,1.7337
*Nc1cccc(C(*)=O)c1,1.9618
*Cc1ccc(C(=O)N*)cc1,1.8171
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,1.7297
*CCCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,1.8137
*OC(=O)c1ccc(C(*)=O)cc1,1.869
*CCCCCOC(=O)O*,1.6374
*Oc1ccc(OC(*)=O)cc1,1.7876
*CCCN*,1.6776
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,1.9173
*c1ccc(*)cc1,2.0982
*CCc1ccc(-c2ccc(*)cc2)cc1,1.872
*OC1C(CO)OC(*)C(O)C1O,1.6879
*Cc1ccc(CO*)cc1,1.7774
*CCOCCOC(=O)O*,1.6326
*CCC(O*)(C(F)(F)F)C(F)(F)F,1.5724
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,1.9035
*Nc1ccc(*)cc1,2.124
*c1cccc(*)n1,1.9952
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,1.6244
*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,2.116
*Cc1ccc(C*)cc1,1.9676
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,1.6306
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,1.7108
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,2.2729
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,2.2317
*Oc1ccc(C(=S)c2ccc(*)s2)s1,2.0575
*C(=S)OC(=S)c1ccc(*)s1,2.2971
*Oc1ccc(Oc2ccc(*)s2)s1,1.867
*OC(=S)Oc1ccc(*)s1,1.9459
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)s2)cc1,2.9445
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,2.1712
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)s2)cc1,2.033
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,2.3194
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,2.1267
*c1ccc(-c2ccc(C(=S)c3ccc(*)s3)s2)cc1,2.8943
*c1ccc(-c2ccc(Oc3ccc(*)s3)s2)cc1,2.1868
*C(=S)Oc1ccc(-c2ccc(*)cc2)s1,2.1962
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,2.1534
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,2.2986
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,2.0777
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.9034
*OC(=S)c1ccc(-c2ccc(*)cc2)cc1,2.0445
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,2.4956
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,2.0044
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,1.8941
*Oc1ccc(C(=S)c2ccc(*)cc2)cc1,2.0867
*C(=S)OC(=S)c1ccc(*)cc1,2.1589
*Oc1ccc(Oc2ccc(*)cc2)s1,1.8525
*c1ccc(OC(=S)c2ccc(*)s2)cc1,2.2131
*OC(=S)Oc1ccc(*)cc1,1.8793
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,2.0574
*Cc1ccc(-c2ccc(C(*)=S)s2)s1,2.1956
*Cc1ccc(-c2ccc(O*)s2)s1,1.9533
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,1.9468
*Cc1ccc(-c2ccc(C(*)=S)cc2)s1,2.0986
*Cc1ccc(-c2ccc(O*)cc2)s1,1.9368
*Cc1ccc(Cc2ccc(*)s2)s1,1.8382
*Cc1ccc(CC(*)=S)s1,1.8463
*Cc1ccc(C(=O)c2ccc(*)s2)s1,2.0215
*Cc1ccc(C(=O)C(*)=S)s1,1.9676
*Cc1ccc(C(=O)O*)s1,1.8582
*Cc1ccc(C(=S)c2ccc(*)s2)s1,2.0063
*Cc1ccc(C(=S)O*)s1,2.0221
*Cc1ccc(Nc2ccc(*)s2)s1,1.8772
*Cc1ccc(NC(*)=S)s1,1.9817
*Cc1ccc(NO*)s1,1.8806
*Cc1ccc(Oc2ccc(*)s2)s1,1.8388
*Cc1ccc(OC(*)=S)s1,1.9478
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,1.9768
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,1.9726
*Cc1ccc(-c2ccc(C(*)=S)s2)cc1,2.0798
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,2.0164
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.8915
*Cc1ccc(-c2ccc(C(*)=S)cc2)cc1,2.0502
*Cc1ccc(-c2ccc(O*)cc2)cc1,1.8665
*Cc1ccc(Cc2ccc(*)s2)cc1,1.8173
*Cc1ccc(Cc2ccc(*)cc2)cc1,1.8203
*Cc1ccc(CC(*)=S)cc1,1.8601
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,1.9009
*Cc1ccc(C(=O)c2ccc(*)cc2)cc1,1.9018
*Cc1ccc(C(=O)C(*)=S)cc1,1.9454
*Cc1ccc(C(=S)c2ccc(*)s2)cc1,1.9663
*Cc1ccc(C(=S)c2ccc(*)cc2)cc1,1.9675
*Cc1ccc(C(=S)O*)cc1,1.8934
*Cc1ccc(Nc2ccc(*)s2)cc1,1.8937
*Cc1ccc(Nc2ccc(*)cc2)cc1,1.8879
*Cc1ccc(NC(*)=S)cc1,1.9161
*Cc1ccc(Oc2ccc(*)s2)cc1,1.8289
*Cc1ccc(OC(*)=S)cc1,1.8273
*CCc1ccc(-c2ccc(*)s2)s1,1.9248
*CCc1ccc(C(*)=S)s1,2.0043
*CCc1ccc(O*)s1,1.7996
*CCc1ccc(-c2ccc(*)s2)cc1,1.9106
*CCc1ccc(C(*)=S)cc1,1.9173
*CCc1ccc(O*)cc1,1.7865
*CCCc1ccc(*)s1,1.7538
*CCCc1ccc(*)cc1,1.7489
*CCCC(*)=O,1.6556
*CCCC(*)=S,1.7702
*CCC(=O)c1ccc(*)s1,1.8757
*CCC(=O)c1ccc(*)cc1,1.8245
*CCC(=O)C(*)=S,1.9627
*CCC(=S)O*,1.8214
*CCNc1ccc(*)s1,1.8184
*CCNc1ccc(*)cc1,1.7816
*CCNC(*)=S,1.8641
*CCON*,1.7034
*CC(=O)c1ccc(-c2ccc(*)s2)s1,2.0695
*CC(=O)c1ccc(-c2ccc(*)cc2)s1,2.0173
*CC(=O)c1ccc(C(*)=O)s1,1.9246
*CC(=O)c1ccc(C(*)=S)s1,2.0669
*CC(=O)c1ccc(O*)s1,1.9109
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,2.0511
*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,1.9046
*CC(=O)c1ccc(C(*)=O)cc1,1.8797
*CC(=O)c1ccc(C(*)=S)cc1,2.0297
*CC(=O)c1ccc(O*)cc1,1.7866
*CC(=O)Cc1ccc(*)s1,1.799
*CC(=O)Cc1ccc(*)cc1,1.7624
*CC(=O)CC(*)=O,1.7565
*CC(=O)CC(*)=S,1.8167
*CC(=O)CO*,1.6922
*CC(=O)C(=S)c1ccc(*)s1,2.0529
*CC(=O)C(=S)c1ccc(*)cc1,2.03
*CC(=O)C(=S)C(*)=O,2.1903
*CC(=O)C(=S)O*,1.9836
*CC(=O)Nc1ccc(*)s1,1.8784
*CC(=O)Nc1ccc(*)cc1,1.8294
*CC(=O)NC(*)=O,1.7864
*CC(=O)NC(*)=S,1.9255
*CC(=O)Oc1ccc(*)s1,1.8447
*CC(=O)OC(*)=O,1.7033
*CC(=O)OC(*)=S,1.7532
*CC(=S)c1ccc(C(*)=S)s1,2.4487
*CC(=S)c1ccc(O*)s1,2.1619
*CC(=S)c1ccc(N*)cc1,2.1325
*CC(=S)c1ccc(O*)cc1,1.9879
*CC(=S)CC(*)=S,1.9346
*CC(=S)CO*,1.8843
*CC(=S)C(=O)C(*)=S,2.1951
*CC(=S)C(=O)O*,1.92
*CC(=S)NC(*)=S,2.0504
*CC(=S)NO*,1.9431
*CC(=S)OC(*)=S,1.9523
*CNc1ccc(-c2ccc(*)cc2)s1,1.9424
*CNc1ccc(C(*)=O)s1,2.0195
*CNc1ccc(C(*)=S)s1,2.251
*CNc1ccc(N*)s1,1.8551
*CNc1ccc(O*)s1,1.8497
*CNc1ccc(-c2ccc(*)s2)cc1,1.9541
*CNc1ccc(C(*)=O)cc1,1.9491
*CNc1ccc(N*)cc1,1.8632
*CNc1ccc(O*)cc1,1.8414
*CNCc1ccc(*)s1,1.7813
*CNCc1ccc(*)cc1,1.7745
*CNCC(*)=O,1.7201
*CNCC(*)=S,1.8901
*CNCN*,1.7262
*CNCO*,1.6697
*CNC(=O)c1ccc(*)s1,1.8558
*CNC(=O)C(*)=S,1.9972
*CNC(=S)c1ccc(*)s1,1.9675
*CNC(=S)c1ccc(*)cc1,1.8914
*CNC(=S)C(*)=O,2.0233
*CNC(=S)N*,1.8071
*CNC(=S)O*,1.8672
*CNOc1ccc(*)s1,1.8539
*CNOc1ccc(*)cc1,1.8294
*CNOC(*)=S,1.8633
*CNON*,1.7453
*COc1ccc(-c2ccc(*)cc2)s1,1.9391
*COc1ccc(O*)s1,1.795
*COc1ccc(O*)cc1,1.7891
*COC(=O)O*,1.657
*COC(=S)O*,1.8467
*CONC(*)=O,1.7438
*CONO*,1.7417
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,2.705
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,2.3807
*Oc1ccc(-c2ccc(C(*)=O)s2)s1,2.0521
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,2.5812
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)s1,2.2782
*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,2.1334
