psmiles,value
*C*,47.8
*CC(*)C,44.47
*CC(*)CC,34.04
*CC(*)CCC,20.01
*CC(*)CC(C)C,21.64
*CCCCCCCC(*)C,31.47
*CC(*)CCCCCC,75.06
*C=CCCC*,14.57
*C=CCC*,13.1
*C=CCCCCCC*,22.67
*CC(*)c1ccccc1,27.37
*CC(*)c1ccc(C)cc1,18.59
*CC(*)(C)c1ccc(C)cc1,34.09
*CC(*)c1ccc(O)cc1,11.0
*CC(*)O,39.089205
*CC(*)OC(=O)CCCCCCCCCCC,12.02
*CC(*)OC(=O)CCCCCCCCCCCCCCC,33.35
*CC(*)OC(=O)CCCCCCCCCCCCCCCCC,37.02
*CC(*)(C)C#N,8.0
*CC(*)C(=O)OC(C)C,53.86
*CC(*)C(=O)OCCCCCCCCCCCC,17.77
*CC(*)C(=O)OCCCCCCCCCCCCCC,27.01
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,39.64
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,43.74
*CC(*)(C)C(=O)OC,12.63789474
*CC(*)(C)C(=O)OCCCCCCCCCCCC,3.98
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCC,17.37
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,21.64
*CC(*)C(=O)NCCCCCCCCCCCC,1.76
*CC(*)C(=O)NCCCCCCCCCCCCCC,9.79
*CC(*)C(=O)NCCCCCCCCCCCCCCCC,16.73
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCC,21.61
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCCCCCC,35.71
*CC(*)(F)F,41.3664625
*CC(*)(Cl)Cl,67.76
*C(F)C(*)(F)F,72.97
*C(F)(F)C(*)(F)Cl,77.15
*CCC=C(*)Cl,90.11
*CCC(F)(F)C(*)(F)F,43.69
*CCC=C(*)C,52.26
*C=CC(C)C*,62.19
*CC(C)C=C(*)C,45.53
*CO*,97.74314666
*CCO*,70.6655082
*CC(C)O*,77.61
*CC(CCl)O*,51.33
*CC(O*)C(C)(C)C,20.98
*CCCO*,55.46
*CC(C)(C)CO*,47.31
*CC(CO)(CO)CO*,90.22
*CC(CO*)(COCC)COCC,26.85
*CCCCO*,17.54872941
*CCCCCCO*,93.3
*CCCCCCCCO*,92.75
*Oc1c(C)cc(*)cc1C,62.833401
*Oc1c(OC)cc(*)cc1OC,19.88
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,73.4
*CCOCO*,62.84
*CCCCOCO*,65.43
*CCOC(=O)c1ccc(O*)cc1,67.44
*CCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,96.09
*CC(=O)NCCCCCCNC(=O)CO*,31.96
*CCOCCOC(=O)NCCCCCCNC(=O)O*,56.78
*CCOCCOCCOC(=O)NCCCCCCNC(=O)O*,35.73
*CC(=O)OC(=O)c1ccc(C(=O)OC(=O)COc2ccc(O*)cc2)cc1,47.87
*CCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O*,25.61
*CCOCCOCCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O*,22.98
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,31.10578095
*CC(CC)(CC)CO*,41.8
*CCOCC(=O)O*,55.93
*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,38.53
*Oc1ccc(Oc2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,29.77
*CC(C)(CC)CO*,54.15
*CC(C)(CO)CO*,41.42
*CC(CO*)(COC=O)COC=O,53.4
*Oc1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc(*)cc4)c3)cc2)cc1,72.53
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C,30.95
*CCCCCCCCCCOc1ccc(OC(=O)c2ccc(OCCOCCOCCOc3ccc(C(=O)Oc4ccc(O*)cc4)cc3)cc2)cc1,16.51
*Oc1ccc(Oc2ccc(NC(=O)c3ccc(Oc4ccc(Oc5ccc(C(=O)Nc6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,60.74
*Oc1cccc(Oc2ccc(NC(=O)c3ccc(Oc4cccc(Oc5ccc(C(=O)Nc6ccc(*)cc6)cc5)c4)cc3)cc2)c1,40.05
